city,iataCode, Airport name, Location, Country,isInternational
CWT Cowra Airport,CWT,Cowra Airport,"Cowra, New South Wales",Australia,
DRI Beauregard Regional Airport,DRI,Beauregard Regional Airport,"De Ridder, Louisiana",United States,
ERR Errol Airport,ERR,Errol Airport,"Errol, New Hampshire",United States,
FTI Fitiuta Airport,FTI,Fitiuta Airport,"Fiti‘uta, American Samoa",United States,
GRD Greenwood County Airport,GRD,Greenwood County Airport,"Greenwood, South Carolina",United States,
HLI Hollister Municipal Airport,HLI,Hollister Municipal Airport,"Hollister, California",United States,
ILB Ilha Solteira Airport,ILB,Ilha Solteira Airport,"Ilha Solteira, São Paulo",Brazil,
JIK Ikaria Airport,JIK,Ikaria Airport,Ikaria,Greece,
KGH Yongai Airport,KGH,Yongai Airport,Yongai,Papua New Guinea,
"KSV Springvale Airport, Queensland",KSV,"Springvale Airport, Queensland","Springvale, Queensland",Australia,
LGU Logan-Cache Airport,LGU,Logan-Cache Airport,"Logan, Utah",United States,
LUX Luxembourg Findel Airport,LUX,Luxembourg Findel Airport,Findel,Luxembourg,
MHX Manihiki Island Airport,MHX,Manihiki Island Airport,Manihiki Island,Cook Islands,
MTC Selfridge Air NATIONAL Guard Base,MTC,Selfridge Air NATIONAL Guard Base,"Mount Clemens, Michigan",United States,
NNA Kenitra Airport,NNA,Kenitra Airport,Kenitra,Morocco,
OUZ Tazadit Airport,OUZ,Tazadit Airport,Zouerate,Mauritania,
PSC Tri-Cities Airport,PSC,Tri-Cities Airport,"Pasco, Washington",United States,
RMK Renmark Airport,RMK,Renmark Airport,"Renmark, South Australia",Australia,
SKI Skikda Airport,SKI,Skikda Airport,Skikda,Algeria,
TAJ Tadji Airport,TAJ,Tadji Airport,Aitape,Papua New Guinea,
TWD Jefferson County International Airport,TWD,Jefferson County International Airport,"Port Townsend, Washington",United States,YES
VVO Vladivostok International Airport (Knevichi Airport),VVO,Vladivostok International Airport (Knevichi Airport),Vladivostok,Russia,YES
