city,iataCode, Airport name, Location, Country,isInternational
IAO Siargao - Sayak Airport,IAO,Siargao - Sayak Airport,Surigao del Norte,Phillipines,
AML Puerto Armuellas Airport,AML,Puerto Armuellas Airport,Puerto Armuellas,Panama,
AZG Pablo L. Sidar Airport,AZG,Pablo L. Sidar Airport,"Apatzingán, Michoacán",Mexico,
BKC Buckland Airport,BKC,Buckland Airport,"Buckland, Alaska",United States,
BVE Brive – Souillac Airport,BVE,Brive – Souillac Airport,Brive-la-Gaillarde,France,
CGY Laguindingan International Airport,CGY,Laguindingan International Airport,Cagayan de Oro City,Philippines,YES
CSY Cheboksary Airport,CSY,Cheboksary Airport,"Cheboksary, Chuvashia",Russia,
DLL Dillon County Airport,DLL,Dillon County Airport,"Dillon, South Carolina",United States,
ELO Eldorado Airport,ELO,Eldorado Airport,"Eldorado, Misiones",Argentina,
FMA Formosa International Airport (El Pucú Airport),FMA,Formosa International Airport (El Pucú Airport),Formosa,Argentina,YES
GLM Glenormiston Airport,GLM,Glenormiston Airport,"Glenormiston, Queensland",Australia,
HEI Heide-Büsum Airport,HEI,Heide-Büsum Airport,"Heide, Schleswig-Holstein",Germany,
IAR Yaroslavl Airport,IAR,Yaroslavl Airport,Yaroslavl,Russia,
JAI Jaipur Airport (Sanganer Airport),JAI,Jaipur Airport (Sanganer Airport),Jaipur / Sanganer,India,
KCG Chignik Fisheries Airport (closed),KCG,Chignik Fisheries Airport (closed),"Chignik, Alaska",United States,
KOR Kokoro Airport,KOR,Kokoro Airport,Kokoro,Papua New Guinea,
LCS Las Canas Airport,LCS,Las Canas Airport,Las Canas,Costa Rica,
LRJ Le Mars Municipal Airport,LRJ,Le Mars Municipal Airport,"Le Mars, Iowa",United States,
MEP Mersing Airport,MEP,Mersing Airport,Johor,Malaysia,
MPP Mulatupo Airport,MPP,Mulatupo Airport,Mulatupo,Panamá,
NBG NAS JRB New Orleans (Alvin Callender Field),NBG,NAS JRB New Orleans (Alvin Callender Field),"New Orleans, Louisiana",United States,
ONA Winona Municipal Airport (Max Conrad Field),ONA,Winona Municipal Airport (Max Conrad Field),"Winona, Minnesota",United States,
PMY El Tehuelche Airport,PMY,El Tehuelche Airport,Puerto Madryn,Argentina,
RCQ Reconquista Airport,RCQ,Reconquista Airport,"Reconquista, Santa Fe",Argentina,
SFE San Fernando Airport,SFE,San Fernando Airport,"San Fernando City, La UNION",Philippines,
SUX Sioux Gateway Airport (Colonel Bud Day Field),SUX,Sioux Gateway Airport (Colonel Bud Day Field),"Sioux City, Iowa",United States,
TPA Tampa International Airport,TPA,Tampa International Airport,"Tampa, Florida",United States,YES
VHN Culberson County Airport,VHN,Culberson County Airport,"Van Horn, Texas",United States,
XKL KL City Air Terminal,XKL,KL City Air Terminal,Kuala Lumpur,Malaysia,
YLJ Meadow Lake Airport,YLJ,Meadow Lake Airport,"Meadow Lake, Saskatchewan",Canada,
YZT Port Hardy Airport,YZT,Port Hardy Airport,"Port Hardy, British Columbia",Canada,
ZVE Union Station,ZVE,Union Station,"New Haven, Connecticut",United States,
AAA Anaa Airport,AAA,Anaa Airport,"Anaa, Tuamotus",French Polynesia,
AMM Queen Alia International Airport,AMM,Queen Alia International Airport,Amman,Jordan,YES
AZI Bateen Airport,AZI,Bateen Airport,Abu Dhabi,United Arab Emirates,
BKD Stephens County Airport,BKD,Stephens County Airport,"Breckenridge, Texas",United States,
BVF Dama Airport,BVF,Dama Airport,Bua,Fiji,
CGZ Casa Grande Municipal Airport,CGZ,Casa Grande Municipal Airport,"Casa Grande, Arizona",United States,
CSZ Brigadier Hector Eduardo Ruiz Airport,CSZ,Brigadier Hector Eduardo Ruiz Airport,"Coronel Suárez, Buenos Aires",Argentina,
DLM Dalaman Airport,DLM,Dalaman Airport,Mu?la,Turkey,
ELP El Paso International Airport,ELP,El Paso International Airport,"El Paso, Texas",United States,YES
FMC Five Mile Airport,FMC,Five Mile Airport,"Five Mile, Alaska",United States,
GLN Goulimime Airport,GLN,Goulimime Airport,Goulimime,Morocco,
HEK Heihe Airport,HEK,Heihe Airport,"Heihe, Heilongjiang",China,
IAS Ia?i International Airport,IAS,Ia?i International Airport,Ia?i,Romania,YES
JAK Jacmel Airport,JAK,Jacmel Airport,Jacmel,Haiti,
KCH Kuching International Airport,KCH,Kuching International Airport,"Kuching, Sarawak",Malaysia,YES
KOS Sihanoukville Airport (Kompong Som),KOS,Sihanoukville Airport (Kompong Som),Sihanoukville,Cambodia,
LCV Tassignano Airport,LCV,Tassignano Airport,Lucca,Italy,
LRL Niamtougou International Airport,LRL,Niamtougou International Airport,Niamtougou,Togo,YES
MEQ Seunagan Airport,MEQ,Seunagan Airport,Meulaboh,Indonesia,
MPQ Ma'an Airport,MPQ,Ma'an Airport,Ma'an,Jordan,
NBK Suvarnabhumi International Airport,NBK,Suvarnabhumi International Airport,Bangkok,Thailand,YES
ONH Oneonta Municipal Airport,ONH,Oneonta Municipal Airport,"Oneonta, New York",United States,
PMZ Palmar Sur Airport,PMZ,Palmar Sur Airport,Palmar Sur,Costa Rica,
RCR Fulton County Airport,RCR,Fulton County Airport,"Rochester, Indiana",United States,
SFF Felts Field,SFF,Felts Field,"Spokane, Washington",United States,
SVA Savoonga Airport,SVA,Savoonga Airport,"Savoonga, Alaska",United States,
TPE Taiwan Taoyuan International Airport,TPE,Taiwan Taoyuan International Airport,"Taoyuan County, Taiwan",China,YES
VHV Verkhnevilyuysk Airport,VHV,Verkhnevilyuysk Airport,"Verkhnevilyuysk, Woehee Bueluue District, Sakha Republic",Russia,
XKO Kemano Airport,XKO,Kemano Airport,"Kemano, British Columbia",Canada,
YLL Lloydminster Airport,YLL,Lloydminster Airport,"Lloydminster, Alberta/Saskatchewan",Canada,
YZU Whitecourt Airport,YZU,Whitecourt Airport,"Whitecourt, Alberta",Canada,
ZVM Hannover Messe Bahnhof,ZVM,Hannover Messe Bahnhof,,Germany,
AAB Arrabury Airport,AAB,Arrabury Airport,"Arrabury, Queensland",Australia,
AMN Gratiot Community Airport,AMN,Gratiot Community Airport,"Alma, Michigan",United States,
AZN Andizhan Airport,AZN,Andizhan Airport,Andizhan,Uzbekistan,
BKE Baker City Municipal Airport,BKE,Baker City Municipal Airport,"Baker City, Oregon",United States,
BVG Berlevåg Airport,BVG,Berlevåg Airport,Berlevåg,Norway,
CHA Chattanooga Metropolitan Airport (Lovell Field),CHA,Chattanooga Metropolitan Airport (Lovell Field),"Chattanooga, Tennessee",United States,
CTA Catania–Fontanarossa Airport,CTA,Catania–Fontanarossa Airport,"Catania, Sicily",Italy,
DLN Dillon Airport,DLN,Dillon Airport,"Dillon, Montana",United States,
ELQ Gassim Regional Airport,ELQ,Gassim Regional Airport,Buraidah,Saudi Arabia,
FME Tipton Airport (Fort Meade),FME,Tipton Airport (Fort Meade),"Odenton, Maryland",United States,
GLO Gloucester Airport,GLO,Gloucester Airport,"Gloucester / Cheltenham, England",United Kingdom,
HEL Helsinki Airport,HEL,Helsinki Airport,Helsinki / Vantaa,Finland,
IAU Iaura Airport,IAU,Iaura Airport,Iaura,Papua New Guinea,
JAL El Lencero Airport,JAL,El Lencero Airport,"Jalapa, Veracruz",Mexico,
KCI Kon Airport,KCI,Kon Airport,Kon,Indonesia,
KOT Kotlik Airport,KOT,Kotlik Airport,"Kotlik, Alaska",United States,
LCX Longyan Guanzhishan Airport,LCX,Longyan Guanzhishan Airport,"Longyan, Fujian",China,
LRM La Romana International Airport (Casa de Campo International Airport),LRM,La Romana International Airport (Casa de Campo International Airport),La Romana,Dominican Republic,YES
MER Castle Airport,MER,Castle Airport,"Atwater, California",United States,
MPR McPherson Airport,MPR,McPherson Airport,"McPherson, Kansas",United States,
NBO Jomo Kenyatta International Airport,NBO,Jomo Kenyatta International Airport,Nairobi,Kenya,YES
ONJ Odate-Noshiro Airport,ONJ,Odate-Noshiro Airport,"Kitaakita, Akita",Japan,
PNA Pamplona Airport,PNA,Pamplona Airport,Pamplona,Spain,
RCS Rochester Airport,RCS,Rochester Airport,"Rochester, Kent, England",United Kingdom,
SFH San Felipe International Airport,SFH,San Felipe International Airport,"San Felipe, Baja California",Mexico,YES
SVC Grant County Airport,SVC,Grant County Airport,"Silver City, New Mexico",United States,
TPF Peter O. Knight Airport,TPF,Peter O. Knight Airport,"Tampa, Florida",United States,
VIA Videira Airport,VIA,Videira Airport,"Videira, Santa Catarina",Brazil,
XKS Kasabonika Airport,XKS,Kasabonika Airport,"Kasabonika First Nation, Ontario",Canada,
YLN Yilan Airport,YLN,Yilan Airport,"Yilan, Heilongjiang",China,
YZV Sept-Îles Airport,YZV,Sept-Îles Airport,"Sept-Îles, Quebec",Canada,
ZVR Hannover Hauptbahnhof,ZVR,Hannover Hauptbahnhof,,Germany,
AAC El Arish International Airport,AAC,El Arish International Airport,El Arish,Egypt,YES
AMO Mao Airport,AMO,Mao Airport,Mao,Chad,
AZO Kalamazoo/Battle Creek International Airport,AZO,Kalamazoo/Battle Creek International Airport,"Kalamazoo/Battle Creek, Michigan",United States,YES
BKF Brooks Lake Sea Plane Base,BKF,Brooks Lake Sea Plane Base,"Brooks Lake, Alaska",United States,
BVH Vilhena Airport,BVH,Vilhena Airport,"Vilhena, Rondônia",Brazil,
CHB Chilas Airport,CHB,Chilas Airport,Chilas,Pakistan,
CTB Cut Bank Municipal Airport,CTB,Cut Bank Municipal Airport,"Cut Bank, Montana",United States,
DLP Disneyland Resort Paris Airport,DLP,Disneyland Resort Paris Airport,"Disneyland Resort Paris, Paris",France,
ELR Irian Jaya Airport (Elelim Airport),ELR,Irian Jaya Airport (Elelim Airport),Elelim,Indonesia,
FMH Otis ANGB (Cape Cod CGAS),FMH,Otis ANGB (Cape Cod CGAS),"Falmouth, Massachusetts",United States,
GLP Gulgubip Airport,GLP,Gulgubip Airport,Gulgubip,Papua New Guinea,
HEM Helsinki-Malmi Airport,HEM,Helsinki-Malmi Airport,Helsinki / Malmi,Finland,
IBA Ibadan Airport,IBA,Ibadan Airport,Ibadan,Nigeria,
JAM Bezmer Air Base,JAM,Bezmer Air Base,Yambol (Jambol),Bulgaria,
KCJ Komaio Airport,KCJ,Komaio Airport,Komaio,Papua New Guinea,
KOU Koulamoutou Airport,KOU,Koulamoutou Airport,Koulamoutou,Gabon,
LCY London City Airport,LCY,London City Airport,"London, England",United Kingdom,
LRQ Laurie River Airport,LRQ,Laurie River Airport,"Laurie River, Manitoba",Canada,
MES Polonia International Airport,MES,Polonia International Airport,Medan,Indonesia,YES
MPT Maliana Airport,MPT,Maliana Airport,Maliana,East Timor (Timor-Leste),
NBS Changbaishan Airport,NBS,Changbaishan Airport,"Baishan, Jilin",China,
ONK Olenyok Airport,ONK,Olenyok Airport,"Olenyok, Sakha Republic",Russia,
PNC Ponca City Regional Airport,PNC,Ponca City Regional Airport,"Ponca City, Oklahoma",United States,
RCT Nartron Field,RCT,Nartron Field,"Reed City, Michigan",United States,
SFJ Kangerlussuaq Airport,SFJ,Kangerlussuaq Airport,Kangerlussuaq,Greenland,
SVD E.T. Joshua Airport,SVD,E.T. Joshua Airport,"Arno Vale, Saint Vincent",Saint Vincent and the Grenadines,
TPH Tonopah Airport,TPH,Tonopah Airport,"Tonopah, Nevada",United States,
VIC Vicenza Airport,VIC,Vicenza Airport,Vicenza,Italy,
XKY Kaya Airport,XKY,Kaya Airport,Kaya,Burkina Faso,
YLO Shilo Airport,YLO,Shilo Airport,"Shilo, Manitoba",Canada,
YZW Teslin Airport,YZW,Teslin Airport,"Teslin, Yukon",Canada,
ZWC Stavanger Station,ZWC,Stavanger Station,Hanover,Norway,
AAD Ad-Dabbah Airport,AAD,Ad-Dabbah Airport,Al Dabbah,Sudan,
AMP Ampanihy Airport,AMP,Ampanihy Airport,Ampanihy,Madagascar,
AZP Atizapan Airport,AZP,Atizapan Airport,Mexico City,Mexico,
BKG Branson Airport,BKG,Branson Airport,"Branson, Missouri",United States,
BVI Birdsville Airport,BVI,Birdsville Airport,"Birdsville, Queensland",Australia,
CHC Christchurch International Airport,CHC,Christchurch International Airport,Christchurch,New Zealand,YES
CTC Coronel Felipe Varela Airport,CTC,Coronel Felipe Varela Airport,"Catamarca, Catamarca",Argentina,
DLS Columbia Gorge Regional Airport (The Dalles Municipal Airport),DLS,Columbia Gorge Regional Airport (The Dalles Municipal Airport),"The Dalles, Oregon",United States,
ELS East London Airport,ELS,East London Airport,East London,South Africa,
FMI Kalemie Airport,FMI,Kalemie Airport,Kalemie,Democratic Republic of the Congo,
GLR Gaylord Regional Airport,GLR,Gaylord Regional Airport,"Gaylord, Michigan",United States,
HEO Haelogo Airport,HEO,Haelogo Airport,Haelogo,Papua New Guinea,
IBE Perales Airport,IBE,Perales Airport,Ibagué,Colombia,
JAN Jackson-Evers International Airport,JAN,Jackson-Evers International Airport,"Jackson, Mississippi",United States,YES
KCK Kirensk Airport,KCK,Kirensk Airport,"Kirensk, Irkutsk Oblast",Russia,
KOV Kokshetau Airport,KOV,Kokshetau Airport,Kokshetau,Kazakhstan,
LDA Malda Airport,LDA,Malda Airport,Malda,India,
LRR Lar Airport,LRR,Lar Airport,Lar,Iran,
MET Moreton Airport,MET,Moreton Airport,"Moreton, Queensland",Australia,
MPU Mapua Airport,MPU,Mapua Airport,Mapua,Papua New Guinea,
NBW NAS Guantanamo Bay,NBW,NAS Guantanamo Bay,Guantanamo Bay,Cuba,
ONL O'Neill Municipal Airport (John L.Baker Field),ONL,O'Neill Municipal Airport (John L.Baker Field),"O'Neill, Nebraska",United States,
PNE Northeast Philadelphia Airport,PNE,Northeast Philadelphia Airport,"Philadelphia, Pennsylvania",United States,
RCU Aeropuerto de Río Cuarto,RCU,Aeropuerto de Río Cuarto,"Río Cuarto, Córdoba",Argentina,
SFL São Filipe Airport,SFL,São Filipe Airport,Fogo,Cape Verde,
SVE Susanville Municipal Airport,SVE,Susanville Municipal Airport,"Susanville, California",United States,
TPL Draughon-Miller Central Texas Regional Airport,TPL,Draughon-Miller Central Texas Regional Airport,"Temple, Texas",United States,
VID Vidin Airport,VID,Vidin Airport,Vidin,Bulgaria,
XLB Lac Brochet Airport,XLB,Lac Brochet Airport,"Lac Brochet, Manitoba",Canada,
YLP Mingan Airport,YLP,Mingan Airport,"Mingan, Quebec",Canada,
YZX CFB Greenwood / Greenwood Airport,YZX,CFB Greenwood / Greenwood Airport,"Greenwood, Nova Scotia",Canada,
ZWE Antwerpen-Centraal Railway Station,ZWE,Antwerpen-Centraal Railway Station,Antwerp,Belgium,
AAE Rabah Bitat Airport (Les Salines Airport),AAE,Rabah Bitat Airport (Les Salines Airport),Annaba,Algeria,
AMQ Pattimura Airport,AMQ,Pattimura Airport,Ambon,Indonesia,
AZR Touat Cheikh Sidi Mohamed Belkebir Airport,AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,
BKH Barking Sands PMRF,BKH,Barking Sands PMRF,"Kekaha, Hawaii",United States,
BVK Huacaraje Airport,BVK,Huacaraje Airport,Huacaraje,Bolivia,
CHE Reenroe Airport,CHE,Reenroe Airport,"Cahersiveen, County Kerry",Ireland,
CTD Herrera Alonso Valderrama Airport,CTD,Herrera Alonso Valderrama Airport,Chitré,Panama,
DLU Dali Airport,DLU,Dali Airport,"Dali, Yunnan",China,
ELT Tour Sinai City Airport,ELT,Tour Sinai City Airport,El Tor,Egypt,
FMM Allgäu Airport,FMM,Allgäu Airport,"Memmingen, Bavaria",Germany,
GLS Scholes International Airport at Galveston,GLS,Scholes International Airport at Galveston,"Galveston, Texas",United States,YES
"HER Heraklion International Airport, Nikos Kazantzakis",HER,"Heraklion International Airport, Nikos Kazantzakis","Heraklion, Crete",Greece,YES
IBI Iboki Airport,IBI,Iboki Airport,Iboki,Papua New Guinea,
JAQ Jacquinot Bay Airport,JAQ,Jacquinot Bay Airport,Jacquinot Bay,Papua New Guinea,
KCL Chignik Lagoon Airport (Chignik Flats Airport),KCL,Chignik Lagoon Airport (Chignik Flats Airport),"Chignik Lagoon, Alaska",United States,
KOW Ganzhou Huangjin Airport,KOW,Ganzhou Huangjin Airport,"Ganzhou, Jiangxi",China,
LDB Londrina Airport,LDB,Londrina Airport,"Londrina, Paraná",Brazil,
LRS Leros Island National Airport,LRS,Leros Island National Airport,Leros,Greece,
MEU Monte Dourado Airport,MEU,Monte Dourado Airport,"Almeirim, Pará",Brazil,
MPV Edward F.Knapp State Airport,MPV,Edward F.Knapp State Airport,"Barre / Montpelier, Vermont",United States,
NBX Nabire Airport,NBX,Nabire Airport,Nabire,Indonesia,
ONM Socorro Municipal Airport,ONM,Socorro Municipal Airport,"Socorro, New Mexico",United States,
PNH Phnom Penh International Airport,PNH,Phnom Penh International Airport,Phnom Penh,Cambodia,YES
RDA Rockhampton Downs Airport,RDA,Rockhampton Downs Airport,"Rockhampton Downs, Northern Territory",Australia,
SFM Sanford Seacoast Regional Airport,SFM,Sanford Seacoast Regional Airport,"Sanford, Maine",United States,
SVF Savé Airport,SVF,Savé Airport,Savé,Benin,
TPQ Amado Nervo National Airport,TPQ,Amado Nervo National Airport,"Tepic, Nayarit",Mexico,
VIE Vienna International Airport,VIE,Vienna International Airport,Vienna,Austria,YES
XLO Long Xuyen Airport,XLO,Long Xuyen Airport,Long Xuyen,Vietnam,
YLQ La Tuque Airport,YLQ,La Tuque Airport,"La Tuque, Quebec",Canada,
YZY Zhangye Ganzhou Airport,YZY,Zhangye Ganzhou Airport,"Zhangye, Gansu",China,
ZWI Wilmington Station,ZWI,Wilmington Station,"Wilmington, Delaware",United States,
AAF Apalachicola Municipal Airport,AAF,Apalachicola Municipal Airport,"Apalachicola, Florida",United States,
AMR Arno Airport,AMR,Arno Airport,Arno,Marshall Islands,
AZS Samaná El Catey International Airport,AZS,Samaná El Catey International Airport,"El Catey, Samaná",Dominican Republic,YES
BKI Kota Kinabalu International Airport,BKI,Kota Kinabalu International Airport,Kota Kinabalu,Malaysia,YES
BVL Baures Airport,BVL,Baures Airport,Baures,Bolivia,
CHF Chinhae Airport,CHF,Chinhae Airport,Chinhae,South Korea,
CTE Carti Airport,CTE,Carti Airport,Cartí,Panama,
DLV Delissaville Airport,DLV,Delissaville Airport,"Delissaville, Northern Territory",Australia,
ELU Guemar Airport,ELU,Guemar Airport,El Oued,Algeria,
FMN Four Corners Regional Airport,FMN,Four Corners Regional Airport,"Farmington, New Mexico",United States,
GLT Gladstone Airport,GLT,Gladstone Airport,"Gladstone, Queensland",Australia,
HES Hermiston Municipal Airport,HES,Hermiston Municipal Airport,"Hermiston, Oregon",United States,
IBL Indigo Bay Lodge Airport,IBL,Indigo Bay Lodge Airport,Bazaruto Island,Mozambique,
JAS Jasper County Airport (Bell Field),JAS,Jasper County Airport (Bell Field),"Jasper, Texas",United States,
KCM Kahramanmaras Airport,KCM,Kahramanmaras Airport,Kahramanmaras,Turkey,
KOX Kokonao Airport,KOX,Kokonao Airport,Kokonao,Indonesia,
LDC Lindeman Island Airport,LDC,Lindeman Island Airport,"Lindeman Island, Queensland",Australia,
LRT Lorient South Brittany Airport,LRT,Lorient South Brittany Airport,Lorient,France,
MEV Minden-Tahoe Airport,MEV,Minden-Tahoe Airport,"Minden, Nevada",United States,
MPW Mariupol Airport,MPW,Mariupol Airport,Mariupol,Ukraine,
NCA North Caicos Airport,NCA,North Caicos Airport,North Caicos,Turks and Caicos Islands,
ONN Onion Bay Airport,ONN,Onion Bay Airport,"Onion Bay, Alaska",United States,
PNI Pohnpei International Airport,PNI,Pohnpei International Airport,Kolonia,Federated States of Micronesia,YES
RDD Redding Municipal Airport,RDD,Redding Municipal Airport,"Redding, California",United States,
SFO San Francisco International Airport,SFO,San Francisco International Airport,"San Francisco, California",United States,YES
"SVG Stavanger Airport, Sola",SVG,"Stavanger Airport, Sola",Stavanger,Norway,
TPR Tom Price Airport,TPR,Tom Price Airport,"Tom Price, Western Australia",Australia,
VIF Vieste Airport,VIF,Vieste Airport,Vieste,Italy,
XLS Saint-Louis Airport,XLS,Saint-Louis Airport,Saint-Louis,Senegal,
YLS Lebel-sur-Quévillon Airport,YLS,Lebel-sur-Quévillon Airport,"Lebel-sur-Quévillon, Quebec",Canada,
ZAA Alice Arm Airport,ZAA,Alice Arm Airport,"Alice Arm, British Columbia",Canada,
ZWU Union Station,ZWU,Union Station,"Washington, D.C.",United States,
AAG Arapoti Airport,AAG,Arapoti Airport,"Arapoti, Paraná",Brazil,
AMS Amsterdam Airport Schiphol,AMS,Amsterdam Airport Schiphol,Haarlemmermeer,Netherlands,
AZT Zapatoca Airport,AZT,Zapatoca Airport,Zapatoca,Colombia,
BKJ Boké Baralande Airport,BKJ,Boké Baralande Airport,Boké,Guinea,
BVM Belmonte Airport,BVM,Belmonte Airport,"Belmonte, Bahia",Brazil,
CHG Chaoyang Airport,CHG,Chaoyang Airport,"Chaoyang, Liaoning",China,
CTF Coatepeque Airport,CTF,Coatepeque Airport,"Coatepeque, Quetzaltenango",Guatemala,
DLY Dillon's Bay Airport,DLY,Dillon's Bay Airport,"Dillon's Bay, Erromango, Taféa",Vanuatu,
ELV Elfin Cove Seaplane Base,ELV,Elfin Cove Seaplane Base,"Elfin Cove, Alaska",United States,
FMO Münster Osnabrück International Airport,FMO,Münster Osnabrück International Airport,"Greven, North Rhine-Westphalia",Germany,YES
GLV Golovin Airport,GLV,Golovin Airport,"Golovin, Alaska",United States,
HET Hohhot Baita International Airport,HET,Hohhot Baita International Airport,"Hohhot, Inner Mongolia",China,YES
IBO Ibo Airport,IBO,Ibo Airport,Ibo,Mozambique,
JAT Jabot Airport,JAT,Jabot Airport,Jabat Island,Marshall Islands,
KCN Chernofski Harbor Seaplane Base,KCN,Chernofski Harbor Seaplane Base,"Chernofski Harbor, Alaska",United States,
KOY Olga Bay Seaplane Base,KOY,Olga Bay Seaplane Base,"Olga Bay, Kodiak Island Borough, Alaska",United States,
LDE Tarbes - Lourdes Pyrenees Airport,LDE,Tarbes - Lourdes Pyrenees Airport,Lourdes,France,
LRU Las Cruces International Airport,LRU,Las Cruces International Airport,"Las Cruces, New Mexico",United States,YES
MEW Mweka Airport,MEW,Mweka Airport,Mweka,Democratic Republic of the Congo,
MPX Miyanmin Airport,MPX,Miyanmin Airport,Miyanmin,Papua New Guinea,
NCE Côte d'Azur International Airport,NCE,Côte d'Azur International Airport,Nice,France,YES
ONO Ontario Municipal Airport,ONO,Ontario Municipal Airport,"Ontario, Oregon",United States,
PNK Supadio Airport,PNK,Supadio Airport,"Pontianak, Kalimantan",Indonesia,
RDG Reading Regional Airport (Carl A.Spaatz Field),RDG,Reading Regional Airport (Carl A.Spaatz Field),"Reading, Pennsylvania",United States,
SFQ Sanliurfa Airport ,SFQ,Sanliurfa Airport ,Sanliurfa,Turkey,
SVH Statesville Regional Airport,SVH,Statesville Regional Airport,"Statesville, North Carolina",United States,
TPS Trapani-Birgi Airport,TPS,Trapani-Birgi Airport,Trapani,Italy,
VIG Juan Pablo Perez Alfonso Airport,VIG,Juan Pablo Perez Alfonso Airport,El Vigía,Venezuela,
XLU Leo Airport,XLU,Leo Airport,Leo,Burkina Faso,
YLR Leaf Rapids Airport,YLR,Leaf Rapids Airport,"Leaf Rapids, Manitoba",Canada,
ZAC York Landing Airport,ZAC,York Landing Airport,"York Landing, Manitoba",Canada,
ZXA Aberdeen Railway Station,ZXA,Aberdeen Railway Station,,Scotland,
AAH Merzbrück Airport,AAH,Merzbrück Airport,Aachen,Germany,
AMT Amata Airport,AMT,Amata Airport,"Amata, Northern Territory",Australia,
AZZ Ambriz Airport,AZZ,Ambriz Airport,Ambriz,Angola,
BKK Suvarnabhumi Airport(New Bangkok International Airport) (Donmuang Airport),BKK,Suvarnabhumi Airport(New Bangkok International Airport) (Donmuang Airport),Bangkok,Thailand,YES
BVO Bartlesville Municipal Airport,BVO,Bartlesville Municipal Airport,"Bartlesville, Oklahoma",United States,
CHH Chachapoyas Airport,CHH,Chachapoyas Airport,Chachapoyas,Peru,
CTG Rafael Núñez International Airport,CTG,Rafael Núñez International Airport,Cartagena,Colombia,YES
DLZ Omnogobi Airport,DLZ,Omnogobi Airport,Dalanzadgad,Mongolia,
ELW Ellamar Seaplane Base,ELW,Ellamar Seaplane Base,"Ellamar, Alaska",United States,
FMS Fort Madison Municipal Airport,FMS,Fort Madison Municipal Airport,"Fort Madison, Iowa",United States,
GLW Glasgow Municipal Airport,GLW,Glasgow Municipal Airport,"Glasgow, Kentucky",United States,
HEX Herrera International Airport (closed),HEX,Herrera International Airport (closed),Santo Domingo,Dominican Republic,YES
IBP Iberia Airport,IBP,Iberia Airport,Iberia,Peru,
JAU Francisco Carle Airport,JAU,Francisco Carle Airport,Jauja,Peru,
KCO Cengiz Topel Naval Air Station,KCO,Cengiz Topel Naval Air Station,Kocaeli,Turkey,
KOZ Ouzinkie Airport,KOZ,Ouzinkie Airport,"Ouzinkie, Alaska",United States,
LDG Leshukonskoye Airport,LDG,Leshukonskoye Airport,Leshukonskoye,Russia,
LRV Los Roques Airport,LRV,Los Roques Airport,Los Roques,Venezuela,
MEX Mexico City International Airport,MEX,Mexico City International Airport,Mexico City,Mexico,YES
MPY Maripasoula Airport,MPY,Maripasoula Airport,Maripasoula,French Guiana,
NCG Nuevo Casas Grandes Municipal Airport,NCG,Nuevo Casas Grandes Municipal Airport,"Nuevo Casas Grandes, Chihuahua",Mexico,
ONP Newport Municipal Airport,ONP,Newport Municipal Airport,"Newport, Oregon",United States,
PNN Princeton Municipal Airport,PNN,Princeton Municipal Airport,"Princeton, Maine",United States,
RDM Roberts Field,RDM,Roberts Field,"Redmond, Oregon",United States,
SFS Subic Bay International Airport,SFS,Subic Bay International Airport,"Morong, Bataan",Philippines,YES
"SVJ Svolvær Airport, Helle",SVJ,"Svolvær Airport, Helle",Svolvær,Norway,
TQA Tasiusaq Heliport (Qaasuitsup),TQA,Tasiusaq Heliport (Qaasuitsup),"Tasiusaq, Qaasuitsup",Greenland,
VIH Rolla National Airport,VIH,Rolla National Airport,"Rolla, Missouri",United States,
XLW Lemwerder Airport,XLW,Lemwerder Airport,"Lemwerder, Lower Saxony",Germany,
YLT Alert Airport,YLT,Alert Airport,"Alert, Nunavut",Canada,
ZAD Zadar Airport,ZAD,Zadar Airport,Zadar,Croatia,
ZXE Edinburgh Waverley Railway Station,ZXE,Edinburgh Waverley Railway Station,,Scotland,
AAI Arraias Airport,AAI,Arraias Airport,"Arraias, Tocantins",Brazil,
AMU Amanab Airport,AMU,Amanab Airport,Amanab,Papua New Guinea,
BAA Bialla Airport,BAA,Bialla Airport,Bialla,Papua New Guinea,
BKL Burke Lakefront Airport,BKL,Burke Lakefront Airport,"Cleveland, Ohio",United States,
BVP Bolovip Airport,BVP,Bolovip Airport,Bolovip,Papua New Guinea,
CHI All Airports,CHI,All Airports,Chicago,United States,
CTH Chester County G. O. Carlson Airport,CTH,Chester County G. O. Carlson Airport,"Coatesville, Pennsylvania",United States,
DMA Davis Monthan Air Force Base,DMA,Davis Monthan Air Force Base,"Tucson, Arizona",United States,
ELX El Tigre Airport,ELX,El Tigre Airport,El Tigre,Venezuela,
FMY Page Field,FMY,Page Field,"Fort Myers, Florida",United States,
GLX Gamarmalamo Airport (Galela Airport),GLX,Gamarmalamo Airport (Galela Airport),"Galela, North Maluku",Indonesia,
HEY Hanchey Army Heliport,HEY,Hanchey Army Heliport,"Fort Rucker, Dale County, Alabama",United States,
IBZ Ibiza Airport,IBZ,Ibiza Airport,Ibiza,Spain,
JAV Ilulissat Airport,JAV,Ilulissat Airport,Ilulissat,Greenland,
KCP Kamenets-Podolskiy Airport,KCP,Kamenets-Podolskiy Airport,Kamianets-Podilskyi,Ukraine,
KPA Kopiago Airport,KPA,Kopiago Airport,Kopiago,Papua New Guinea,
