id,city,country_id,lat,lng,population,,country,,,,,,,,,,,,,,,,,,
75,Penang Island,105,5.3787924,100.250172,#N/A,,Malaysia,,,,,,,,,,,,,,,,,,
76,Jakarta,79,-6.2146,106.8451,34540000,,Indonesia,,,,,,,,,,,,,,,,,,
77,Ha Noi,194,21.0294498,105.8544441,#N/A,,Vietnam,,,,,,,,,,,,,,,,,,
78,Cairo,52,30.0561,31.2394,19372000,,Egypt,,,,,,,,,,,,,,,,,,
79,Johor Bahru,105,1.4556,103.7611,497097,,Malaysia,,,,,,,,,,,,,,,,,,
80,Denpasar,79,-8.6667,115.2167,834881,,Indonesia,,,,,,,,,,,,,,,,,,
81,Ho Chi Minh,194,10.7758439,106.7017555,#N/A,,Vietnam,,,,,,,,,,,,,,,,,,
82,Shanghai,37,31.1667,121.4667,22120000,,China,,,,,,,,,,,,,,,,,,
83,Seoul,164,37.5833,127,21794000,,South Korea,,,,,,,,,,,,,,,,,,
84,Medina,153,24.4667,39.6,1180770,,Saudi Arabia,,,,,,,,,,,,,,,,,,
85,Guangzhou,37,23.1288,113.259,20902000,,China,,,,,,,,,,,,,,,,,,
86,Mecca,153,21.4225,39.8261,1700000,,Saudi Arabia,,,,,,,,,,,,,,,,,,
87,Taipei,173,25.0478,121.5319,2684567,,Taiwan,,,,,,,,,,,,,,,,,,
88,Pattaya,176,12.931941,100.9009534,#N/A,,Thailand,,,,,,,,,,,,,,,,,,
89,Tokyo,86,35.6897,139.6922,37977000,,Japan,,,,,,,,,,,,,,,,,,
90,Phuket,176,7.8881,98.3975,77610,,Thailand,,,,,,,,,,,,,,,,,,
91,Mumbai,78,18.9667,72.8333,23355000,,India,,,,,,,,,,,,,,,,,,
92,Shenzhen,37,22.535,114.054,15929000,,China,,,,,,,,,,,,,,,,,,
93,Delhi,78,28.66,77.23,29617000,,India,,,,,,,,,,,,,,,,,,
94,Kuala Lumpur,105,3.1478,101.6953,8285000,,Malaysia,,,,,,,,,,,,,,,,,,
95,Dubai,187,25.2697,55.3094,2502715,,United Arab Emirates,,,,,,,,,,,,,,,,,,
96,Singapore,158,1.3,103.8,5745000,,Singapore,,,,,,,,,,,,,,,,,,
97,Macau,37,22.203,113.545,568700,,China,,,,,,,,,,,,,,,,,,
98,Bangkok,176,13.75,100.5167,17066000,,Thailand,,,,,,,,,,,,,,,,,,
99,Hong Kong,37,22.305,114.185,7347000,,China,,,,,,,,,,,,,,,,,,
100,Antwerp,17,51.2211,4.3997,529247,,Belgium,,,,,,,,,,,,,,,,,,
101,Aberdeen,188,57.15,-2.11,214610,,United Kingdom,,,,,,,,,,,,,,,,,,
102,Augsburg,65,48.3717,10.8983,295135,,Germany,,,,,,,,,,,,,,,,,,
103,Alexandroupolis,67,40.85,25.8667,57812,,Greece,,,,,,,,,,,,,,,,,,
104,Athens,67,37.9794,23.7161,664046,,Greece,,,,,,,,,,,,,,,,,,
105,Alicante,166,38.3453,-0.4831,334887,,Spain,,,,,,,,,,,,,,,,,,
106,Almeria,166,36.8414197,-2.4628135,#N/A,,Spain,,,,,,,,,,,,,,,,,,
107,Aalborg,47,57.0337,9.9166,122219,,Denmark,,,,,,,,,,,,,,,,,,
108,Aarhus,47,56.1572,10.2107,237551,,Denmark,,,,,,,,,,,,,,,,,,
109,Ancona,84,43.6167,13.5167,100721,,Italy,,,,,,,,,,,,,,,,,,
110,Aosta,84,45.737,7.315,34062,,Italy,,,,,,,,,,,,,,,,,,
111,Amsterdam,124,52.35,4.9166,1031000,,Netherlands,,,,,,,,,,,,,,,,,,
112,Alanya,182,36.5436,31.9997,312319,,Turkey,,,,,,,,,,,,,,,,,,
113,Ankara,182,39.93,32.85,5503985,,Turkey,,,,,,,,,,,,,,,,,,
114,Antalya,182,36.9081,30.6956,2426356,,Turkey,,,,,,,,,,,,,,,,,,
115,Altenrhein,171,47.4903839,9.5540541,#N/A,,Switzerland,,,,,,,,,,,,,,,,,,
116,Brussels,17,50.8467,4.3517,185103,,Belgium,,,,,,,,,,,,,,,,,,
117,Burgas,26,42.5,27.4667,226868,,Bulgaria,,,,,,,,,,,,,,,,,,
118,Banja Luka,22,44.7667,17.1833,199191,,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,
119,Belfast,188,54.5964,-5.93,333871,,United Kingdom,,,,,,,,,,,,,,,,,,
120,Birmingham,188,52.48,-1.9025,2897303,,United Kingdom,,,,,,,,,,,,,,,,,,
121,Bournemouth,188,50.72,-1.88,183491,,United Kingdom,,,,,,,,,,,,,,,,,,
122,Bristol,188,51.45,-2.5833,724000,,United Kingdom,,,,,,,,,,,,,,,,,,
123,Budapest,76,47.4983,19.0408,1752286,,Hungary,,,,,,,,,,,,,,,,,,
124,Berlin,65,52.5167,13.3833,3644826,,Germany,,,,,,,,,,,,,,,,,,
126,Bremen,65,53.1153,8.7975,724909,,Germany,,,,,,,,,,,,,,,,,,
127,Billund,47,55.7309428,9.1159357,#N/A,,Denmark,,,,,,,,,,,,,,,,,,
128,Barcelona,166,41.3825,2.1769,4588000,,Spain,,,,,,,,,,,,,,,,,,
129,Bilbao,166,43.2622,-2.9533,346843,,Spain,,,,,,,,,,,,,,,,,,
130,Bologna,84,44.4939,11.3428,388367,,Italy,,,,,,,,,,,,,,,,,,
131,Bergen,131,60.3925,5.3233,257087,,Norway,,,,,,,,,,,,,,,,,,
132,Bodo,131,67.2827,14.3751,41720,,Norway,,,,,,,,,,,,,,,,,,
134,Bucharest,144,44.4,26.0833,1883425,,Romania,,,,,,,,,,,,,,,,,,
135,Belgrade,155,44.8167,20.4667,1378682,,Serbia,,,,,,,,,,,,,,,,,,
136,Bratislava,159,48.1447,17.1128,429564,,Slovakia,,,,,,,,,,,,,,,,,,
137,Bordeaux,61,44.84,-0.58,257804,,France,,,,,,,,,,,,,,,,,,
139,Brno,45,49.1953,16.6083,381346,,Czech Republic,,,,,,,,,,,,,,,,,,
140,Basel,171,47.5606,7.5906,177595,,Switzerland,,,,,,,,,,,,,,,,,,
141,Bern,171,46.948,7.4474,133798,,Switzerland,,,,,,,,,,,,,,,,,,
142,Cardiff,188,51.4816546,-3.1791934,#N/A,,United Kingdom,,,,,,,,,,,,,,,,,,
143,Cambridge,188,43.3972,-80.3114,129920,,United Kingdom,,,,,,,,,,,,,,,,,,
144,Coventry,188,52.4081,-1.5106,362690,,United Kingdom,,,,,,,,,,,,,,,,,,
145,Cologne,65,50.9422,6.9578,1085664,,Germany,,,,,,,,,,,,,,,,,,
146,Corfu,67,39.591337,19.8596189,#N/A,,Greece,,,,,,,,,,,,,,,,,,
147,Copenhagen,47,55.6786,12.5635,1085000,,Denmark,,,,,,,,,,,,,,,,,,
150,Cork,82,51.9,-8.4731,208669,,Ireland,,,,,,,,,,,,,,,,,,
151,Cagliari,84,39.2224,9.104,291511,,Italy,,,,,,,,,,,,,,,,,,
152,Catania,84,37.5027,15.0873,311584,,Italy,,,,,,,,,,,,,,,,,,
153,Cluj-Napoca,144,46.78,23.5594,324576,,Romania,,,,,,,,,,,,,,,,,,
154,Clermont-Ferrand,61,45.7831,3.0824,143886,,France,,,,,,,,,,,,,,,,,,
155,Chambery-Savoie,61,45.57,5.9118,58919,,France,,,,,,,,,,,,,,,,,,
156,Cherbourg,61,49.6504,-1.65,60991,,France,,,,,,,,,,,,,,,,,,
158,Doncaster,188,53.515,-1.133,109805,,United Kingdom,,,,,,,,,,,,,,,,,,
159,Dortmund,65,51.5139,7.4653,587010,,Germany,,,,,,,,,,,,,,,,,,
160,Dresden,65,51.0493,13.7384,555805,,Germany,,,,,,,,,,,,,,,,,,
161,Duesseldorf,65,51.2254018,6.7763137,#N/A,,Germany,,,,,,,,,,,,,,,,,,
162,Dublin,82,53.3425,-6.2658,1173179,,Ireland,,,,,,,,,,,,,,,,,,
163,Dalaman,182,36.8125748,28.8831401,#N/A,,Turkey,,,,,,,,,,,,,,,,,,
164,Dubrovnik,42,42.6403,18.1083,42615,,Croatia,,,,,,,,,,,,,,,,,,
165,East Midlands,188,52.7965611,-0.6717948,#N/A,,United Kingdom,,,,,,,,,,,,,,,,,,
166,Edinburgh,188,55.953,-3.189,488050,,United Kingdom,,,,,,,,,,,,,,,,,,
167,Exeter,188,50.7167,-3.5333,124180,,United Kingdom,,,,,,,,,,,,,,,,,,
169,Esbjerg,47,55.467,8.45,72205,,Denmark,,,,,,,,,,,,,,,,,,
171,Eilat,83,29.5569348,34.9497949,#N/A,,Israel,,,,,,,,,,,,,,,,,,
172,Eindhoven,124,51.43,5.5,398053,,Netherlands,,,,,,,,,,,,,,,,,,
174,Frankfurt,65,50.1136,8.6797,753056,,Germany,,,,,,,,,,,,,,,,,,
175,Friedrichshafen,65,47.6542,9.4792,60865,,Germany,,,,,,,,,,,,,,,,,,
176,Fuerteventura,166,28.4003769,-14.0048697,#N/A,,Spain,,,,,,,,,,,,,,,,,,
177,Florence,84,43.7714,11.2542,382258,,Italy,,,,,,,,,,,,,,,,,,
178,Floro,131,61.5986,5.0172,8925,,Norway,,,,,,,,,,,,,,,,,,
179,Faro,142,37.0167,-7.9333,64560,,Portugal,,,,,,,,,,,,,,,,,,
180,Funchal,142,32.65,-16.9167,111892,,Portugal,,,,,,,,,,,,,,,,,,
181,Graz,10,47.0667,15.4333,289440,,Austria,,,,,,,,,,,,,,,,,,
182,Gorna Oryahovitsa,26,43.1222,25.6897,35031,,Bulgaria,,,,,,,,,,,,,,,,,,
